name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;207;0;207;5499;2108;5499;2108;0
header;660;424;660;479;3582;479;3582;424
A;1884;531;1884;574;1907;574;1907;531
A;2039;536;2039;586;2079;586;2079;536
A;1823;546;1823;556;1832;556;1832;546
A;963;551;963;560;971;560;971;551
A;1180;625;1180;633;1189;633;1189;625
A;1600;677;1600;720;1622;720;1622;677
A;1785;897;1785;939;1807;939;1807;897
B;2043;1651;2043;1705;2081;1705;2081;1651
A;1354;1712;1354;1723;1364;1723;1364;1712
C;2048;2773;2048;2828;2081;2828;2081;2773
A;1784;2803;1784;2812;1792;2812;1792;2803
A;1521;2862;1521;2905;1543;2905;1543;2862
A;831;2938;831;2982;856;2982;856;2938
A;2013;3023;2013;3033;2024;3033;2024;3023
A;1477;3139;1477;3140;1477;3140;1477;3139
A;1321;3372;1321;3415;1343;3415;1343;3372
D;2057;3973;2057;4024;2097;4024;2097;3973
B;1848;4273;1848;4303;1873;4303;1873;4273
A;1416;4609;1416;4654;1438;4654;1438;4609
A;1907;5097;1907;5103;1913;5103;1913;5097
A;1504;5132;1504;5138;1510;5138;1510;5132
A;1691;5146;1691;5152;1697;5152;1697;5146
A;1870;5151;1870;5152;1871;5152;1871;5151
A;1789;5165;1789;5166;1794;5166;1794;5165
A;1511;5174;1511;5180;1517;5180;1517;5174
A;1636;5174;1636;5180;1642;5180;1642;5174
A;1698;5174;1698;5177;1703;5177;1703;5174
A;1907;5195;1907;5201;1913;5201;1913;5195
A;1809;5223;1809;5236;1815;5236;1815;5223
