name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;207;0;207;5499;2236;5499;2236;0
header;786;439;786;497;3582;497;3582;439
A;654;264;654;269;659;269;659;264
A;2169;552;2169;606;2216;606;2216;552
D;914;930;914;962;940;962;940;930
B;2169;1671;2169;1726;2209;1726;2209;1671
B;1784;2242;1784;2274;1810;2274;1810;2242
C;2171;2795;2171;2851;2206;2851;2206;2795
B;1050;3705;1050;3735;1077;3735;1077;3705
D;2169;3914;2169;3972;2209;3972;2209;3914
B;849;4191;849;4219;885;4219;885;4191
B;1323;4191;1323;4236;1364;4236;1364;4191
A;1907;5097;1907;5103;1913;5103;1913;5097
A;1504;5132;1504;5138;1510;5138;1510;5132
A;1691;5146;1691;5152;1697;5152;1697;5146
A;1870;5150;1870;5152;1871;5152;1871;5150
A;1789;5165;1789;5166;1794;5166;1794;5165
A;1511;5174;1511;5180;1517;5180;1517;5174
A;1636;5174;1636;5180;1642;5180;1642;5174
A;1698;5174;1698;5178;1703;5178;1703;5174
A;1907;5195;1907;5201;1913;5201;1913;5195
A;1809;5223;1809;5236;1815;5236;1815;5223
